org,file_,URL,File,Require,Ensure,Include,Attribute,Hard_coded_string,Command,File_mode,SSH_KEY,Lines_of_code,Comment,defect_status
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/all.pp,2,0,0,0,0,126,62,0,0,0,385,59,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/manifests/keystone.pp,0,0,0,0,0,7,8,0,0,0,35,1,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/jenkins/manifests/params.pp,0,0,0,0,0,0,5,0,0,0,44,4,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/compute.pp,2,0,0,0,1,65,25,0,0,0,242,16,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/zabbix/manifests/params.pp,0,0,0,0,0,1,129,0,0,0,227,4,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/params.pp,0,0,0,0,0,0,23,0,0,0,38,1,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/volume.pp,0,0,1,2,4,7,3,0,0,0,37,1,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/tests/cloudcontroller.pp,0,0,0,0,0,14,12,0,0,0,16,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/mirror.pp,0,2,5,5,11,54,35,0,1,1,151,24,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_stats/manifests/analytic.pp,3,5,8,12,21,103,71,0,5,5,290,30,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/keystone.pp,0,0,0,0,0,39,15,0,0,0,227,38,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/server/install.pp,0,0,0,1,2,1,0,0,0,0,6,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/tests/init.pp,0,0,0,0,1,0,0,0,0,0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/examples/site.pp,0,0,0,0,1,65,21,0,0,0,151,22,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/blackduck/server.pp,0,2,6,6,13,45,32,1,1,2,127,14,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/base.pp,0,3,1,3,5,18,12,0,1,1,56,5,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/scheduler.pp,0,0,1,2,4,7,3,0,0,0,35,1,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/profiles/manifests/puppet/agent.pp,0,1,0,1,1,19,6,0,2,2,46,12,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/log_storage/manifests/storage/nginx.pp,3,4,0,3,7,74,50,0,5,5,181,27,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/keystone/auth.pp,9,0,0,0,0,16,13,0,0,1,94,62,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/pmlc_neutron/manifests/server/service.pp,0,0,1,1,2,8,1,0,0,0,109,12,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/docs.pp,6,6,6,13,19,123,68,0,6,7,284,25,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/params.pp,0,0,0,0,0,0,6,0,0,0,49,14,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/solar-resources/resources/node_network_puppet/1.0.0/actions/run.pp,0,0,2,0,2,15,3,1,0,0,41,3,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/etherpad_lite/manifests/webapp.pp,2,3,3,7,10,66,48,0,3,3,168,32,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/venv/manifests/init.pp,1,0,0,0,0,5,4,0,0,0,21,9,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/mongodb.pp,0,0,0,0,0,12,6,0,0,0,52,11,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-horizon/manifests/params.pp,0,0,0,0,0,0,7,0,0,0,27,2,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/puppet/manifests/master.pp,0,3,5,8,15,67,43,0,2,2,161,11,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/log_storage/manifests/storage/zabbix.pp,0,0,1,1,2,2,2,0,0,0,19,7,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/db.pp,0,0,0,1,1,10,8,0,0,0,91,37,0
